policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
14176,I,San Francisco,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M
14177,F,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,5,Less than $400K
14178,A,Contra Costa,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M
14179,J,Santa Clara,Frame,Tile,1985 and Before,Below 1500,4,Less than $400K
14180,D,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,2,$1.2M to $1.6M
14181,J,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,1,Less than $400K
14182,I,Alameda,Frame,Wood,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M
14183,G,Contra Costa,Frame,Wood,1986 to 1999,Between 1500 and 3000,7,$800K to $1.2M
14184,H,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,4,Less than $400K
14185,I,Santa Clara,Fire Resistive,Wood,1985 and Before,4000 and Above,5,$1.6M to $2M
14186,B,Solano,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,6,$400K to $800K
14187,E,Contra Costa,Frame,Shingle,1985 and Before,Below 1500,5,$1.2M to $1.6M
14188,B,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M
14189,A,Santa Clara,Frame,Wood,1985 and Before,4000 and Above,10,$1.2M to $1.6M
14190,H,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$800K to $1.2M
14191,G,Marin,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,5,Less than $400K
14192,D,Solano,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,7,$400K to $800K
14193,F,Alameda,Frame,Metal,2000 and After,4000 and Above,6,Less than $400K
14194,C,Napa,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,10,Less than $400K
14195,I,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M
14196,A,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,9,$1.2M to $1.6M
14197,H,Marin,Frame,Metal,1985 and Before,Below 1500,2,$1.2M to $1.6M
14198,J,Alameda,Frame,Wood,2000 and After,Below 1500,3,$1.2M to $1.6M
14199,A,Contra Costa,Frame,Wood,2000 and After,4000 and Above,8,$1.6M to $2M
14200,B,Alameda,Fire Resistive,Wood,1985 and Before,Below 1500,9,$1.2M to $1.6M
14201,F,San Mateo,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,5,Less than $400K
14202,E,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,5,$1.6M to $2M
14203,A,Solano,Frame,Metal,1986 to 1999,Below 1500,9,$400K to $800K
14204,I,Alameda,Frame,Shingle,1986 to 1999,4000 and Above,10,$1.2M to $1.6M
14205,G,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
14206,G,Alameda,Frame,Shingle,1985 and Before,4000 and Above,10,$800K to $1.2M
14207,J,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M
14208,E,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,5,$400K to $800K
14209,A,Sonoma,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,6,$1.2M to $1.6M
14210,B,San Mateo,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,8,$800K to $1.2M
14211,E,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,6,$1.2M to $1.6M
14212,F,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,2,Less than $400K
14213,C,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,4,$400K to $800K
14214,C,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,2,Less than $400K
14215,G,San Francisco,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M
14216,C,San Mateo,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,7,$1.2M to $1.6M
14217,I,Santa Clara,Fire Resistive,Wood,2000 and After,4000 and Above,5,$800K to $1.2M
14218,F,Santa Clara,Frame,Wood,1985 and Before,Below 1500,4,$800K to $1.2M
14219,D,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,3,$400K to $800K
14220,I,Sonoma,Frame,Metal,2000 and After,Below 1500,10,$800K to $1.2M
14221,G,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$400K to $800K
14222,F,San Mateo,Frame,Shingle,1986 to 1999,Between 1500 and 3000,4,$800K to $1.2M
14223,E,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M
14224,G,Santa Clara,Frame,Wood,2000 and After,Between 1500 and 3000,1,Less than $400K
14225,E,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,10,$800K to $1.2M
14226,A,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,10,$800K to $1.2M
14227,D,Contra Costa,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,2,$800K to $1.2M
14228,D,Santa Clara,Frame,Shingle,1986 to 1999,Below 1500,4,Less than $400K
14229,A,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,5,Less than $400K
14230,B,Solano,Fire Resistive,Tile,1986 to 1999,Below 1500,3,$800K to $1.2M
14231,B,Santa Clara,Fire Resistive,Metal,1985 and Before,4000 and Above,9,$400K to $800K
14232,G,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,10,Less than $400K
14233,J,Alameda,Frame,Wood,1986 to 1999,Below 1500,8,$1.2M to $1.6M
14234,I,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M
14235,F,Santa Clara,Fire Resistive,Tile,1986 to 1999,4000 and Above,2,$1.2M to $1.6M
14236,F,Contra Costa,Frame,Shingle,1985 and Before,4000 and Above,3,$1.6M to $2M
14237,D,Alameda,Fire Resistive,Wood,2000 and After,Below 1500,10,$400K to $800K
14238,E,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,6,$400K to $800K
14239,G,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,8,Less than $400K
14240,G,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,10,$800K to $1.2M
14241,I,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,8,$800K to $1.2M
14242,E,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M
14243,B,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,7,$1.6M to $2M
14244,D,Santa Clara,Frame,Tile,2000 and After,Between 1500 and 3000,4,Less than $400K
14245,B,Solano,Frame,Shingle,1985 and Before,Below 1500,4,Less than $400K
14246,F,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,10,$1.6M to $2M
14247,F,San Mateo,Frame,Shingle,1986 to 1999,Below 1500,2,$1.6M to $2M
14248,G,Sonoma,Frame,Shingle,1985 and Before,Between 3000 and 4000,10,$1.2M to $1.6M
14249,E,San Francisco,Frame,Wood,1986 to 1999,Below 1500,10,$800K to $1.2M
14250,B,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,10,$800K to $1.2M
14251,I,Alameda,Fire Resistive,Shingle,1986 to 1999,Below 1500,6,Less than $400K
14252,D,San Francisco,Fire Resistive,Wood,1985 and Before,Below 1500,4,$400K to $800K
14253,G,San Mateo,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,8,$400K to $800K
14254,B,Sonoma,Frame,Tile,1986 to 1999,4000 and Above,1,$400K to $800K
14255,C,Sonoma,Frame,Shingle,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M
14256,A,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,4,$800K to $1.2M
14257,J,Santa Clara,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$800K to $1.2M
14258,B,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,7,$400K to $800K
14259,J,Solano,Fire Resistive,Tile,2000 and After,Below 1500,7,$400K to $800K
14260,E,Contra Costa,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,5,$400K to $800K
14261,C,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M
14262,I,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,8,$400K to $800K
14263,I,Alameda,Frame,Metal,2000 and After,4000 and Above,2,Less than $400K
14264,G,Solano,Frame,Wood,2000 and After,Between 3000 and 4000,7,$800K to $1.2M
14265,H,Santa Clara,Frame,Tile,1986 to 1999,4000 and Above,4,$800K to $1.2M
14266,I,Alameda,Frame,Metal,1985 and Before,4000 and Above,8,$1.6M to $2M
14267,B,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,2,Less than $400K
14268,E,Napa,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M
14269,H,Marin,Non-Combustible Masonry,Tile,2000 and After,Below 1500,7,$400K to $800K
14270,I,Contra Costa,Fire Resistive,Shingle,2000 and After,Below 1500,4,$1.6M to $2M
14271,B,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,1,$400K to $800K
14272,I,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,8,Less than $400K
14273,G,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,2,$800K to $1.2M
14274,E,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,1,$1.6M to $2M
14275,E,Santa Clara,Frame,Wood,1986 to 1999,4000 and Above,8,Less than $400K
14276,B,Contra Costa,Frame,Tile,1985 and Before,4000 and Above,1,Less than $400K
14277,C,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,10,Less than $400K
14278,F,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$400K to $800K
14279,F,San Francisco,Fire Resistive,Shingle,1985 and Before,4000 and Above,4,$800K to $1.2M
14280,I,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,7,$800K to $1.2M
14281,B,San Mateo,Frame,Wood,1985 and Before,Between 3000 and 4000,8,$1.6M to $2M
14282,D,Alameda,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,8,$800K to $1.2M
14283,I,Contra Costa,Frame,Metal,2000 and After,Between 3000 and 4000,10,$800K to $1.2M
14284,I,San Mateo,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,9,$800K to $1.2M
14285,B,San Mateo,Fire Resistive,Metal,1985 and Before,4000 and Above,2,$800K to $1.2M
14286,A,San Mateo,Fire Resistive,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M
14287,E,Santa Clara,Frame,Tile,1985 and Before,Between 3000 and 4000,10,$400K to $800K
14288,G,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,2,$800K to $1.2M
14289,J,San Francisco,Fire Resistive,Metal,1986 to 1999,Below 1500,8,Less than $400K
14290,H,Sonoma,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,10,Less than $400K
14291,A,Alameda,Frame,Shingle,1986 to 1999,Below 1500,10,Less than $400K
14292,I,San Mateo,Frame,Shingle,1985 and Before,Between 1500 and 3000,9,Less than $400K
14293,J,Alameda,Frame,Tile,2000 and After,Between 3000 and 4000,7,$1.6M to $2M
14294,I,Solano,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,9,$1.2M to $1.6M
14295,J,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,5,$800K to $1.2M
14296,F,Contra Costa,Frame,Wood,1986 to 1999,Below 1500,2,$800K to $1.2M
14297,D,Marin,Fire Resistive,Metal,1985 and Before,4000 and Above,7,$1.6M to $2M
14298,I,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,1,$400K to $800K
14299,D,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,7,Less than $400K
14300,I,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,7,$800K to $1.2M
14301,C,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,2,$1.6M to $2M
14302,E,Contra Costa,Fire Resistive,Tile,2000 and After,Below 1500,9,$400K to $800K
14303,B,Santa Clara,Frame,Tile,1985 and Before,Below 1500,8,$1.6M to $2M
14304,C,Contra Costa,Frame,Tile,2000 and After,Below 1500,6,$1.2M to $1.6M
14305,J,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,9,Less than $400K
14306,F,Alameda,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,6,$1.6M to $2M
14307,G,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,8,$1.2M to $1.6M
14308,H,Santa Clara,Fire Resistive,Metal,1985 and Before,4000 and Above,9,$1.2M to $1.6M
14309,B,Sonoma,Frame,Wood,1985 and Before,Between 1500 and 3000,9,$1.6M to $2M
14310,E,San Mateo,Frame,Tile,1986 to 1999,Below 1500,7,$400K to $800K
14311,C,San Mateo,Fire Resistive,Tile,2000 and After,4000 and Above,2,$1.6M to $2M
14312,J,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M
14313,E,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M
14314,G,Marin,Frame,Metal,1985 and Before,4000 and Above,7,$800K to $1.2M
14315,H,San Francisco,Frame,Tile,2000 and After,Below 1500,7,$400K to $800K
14316,J,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,10,$800K to $1.2M
14317,D,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,10,Less than $400K
14318,G,Contra Costa,Frame,Shingle,2000 and After,Below 1500,8,$1.6M to $2M
14319,C,Marin,Frame,Tile,1986 to 1999,Below 1500,3,$1.2M to $1.6M
14320,G,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,9,Less than $400K
14321,F,San Francisco,Frame,Metal,1986 to 1999,Below 1500,7,$400K to $800K
14322,B,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,7,$1.6M to $2M
14323,E,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,3,Less than $400K
14324,J,Alameda,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,10,$400K to $800K
14325,G,Sonoma,Fire Resistive,Tile,1986 to 1999,Below 1500,3,$1.2M to $1.6M
14326,A,Alameda,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,5,$400K to $800K
14327,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,10,$1.6M to $2M
14328,I,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,1,$800K to $1.2M
14329,F,Santa Clara,Fire Resistive,Metal,1986 to 1999,4000 and Above,6,$1.6M to $2M
14330,B,Santa Clara,Frame,Tile,1985 and Before,4000 and Above,5,$1.2M to $1.6M
14331,B,Alameda,Non-Combustible Masonry,Metal,2000 and After,Below 1500,8,$800K to $1.2M
14332,G,Contra Costa,Fire Resistive,Tile,1985 and Before,4000 and Above,5,$800K to $1.2M
14333,G,Solano,Frame,Wood,2000 and After,Below 1500,3,$800K to $1.2M
14334,G,San Mateo,Frame,Tile,1986 to 1999,Between 1500 and 3000,8,$1.6M to $2M
14335,D,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,Less than $400K
14336,J,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M
14337,I,San Mateo,Frame,Wood,1985 and Before,4000 and Above,2,Less than $400K
14338,D,San Mateo,Frame,Tile,1985 and Before,Between 3000 and 4000,5,Less than $400K
14339,A,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,5,Less than $400K
14340,D,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Below 1500,10,$800K to $1.2M
14341,B,San Mateo,Fire Resistive,Wood,2000 and After,Below 1500,10,$1.6M to $2M
14342,B,Contra Costa,Frame,Wood,1985 and Before,Between 3000 and 4000,6,$1.6M to $2M
14343,C,San Francisco,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M
14344,I,Solano,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,10,$1.2M to $1.6M
14345,J,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,5,$400K to $800K
14346,J,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,2,$1.6M to $2M
14347,C,Napa,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
14348,B,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,9,$1.6M to $2M
14349,D,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,9,Less than $400K
14350,H,Solano,Frame,Tile,1986 to 1999,Between 3000 and 4000,4,Less than $400K
14351,E,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,1,Less than $400K
14352,C,Sonoma,Frame,Metal,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M
14353,C,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,7,$1.6M to $2M
14354,I,Alameda,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,5,$800K to $1.2M
14355,F,Alameda,Frame,Metal,1985 and Before,4000 and Above,5,$400K to $800K
14356,F,Napa,Fire Resistive,Tile,1986 to 1999,4000 and Above,7,$400K to $800K
14357,G,Solano,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,8,Less than $400K
14358,J,Santa Clara,Frame,Wood,2000 and After,Between 1500 and 3000,5,$800K to $1.2M
14359,E,Alameda,Frame,Shingle,1985 and Before,Between 3000 and 4000,3,$1.6M to $2M
14360,G,Santa Clara,Fire Resistive,Shingle,2000 and After,Below 1500,9,$400K to $800K
14361,H,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,8,Less than $400K
14362,I,Solano,Frame,Wood,1986 to 1999,Below 1500,9,$400K to $800K
14363,F,Santa Clara,Frame,Tile,1986 to 1999,4000 and Above,8,Less than $400K
14364,H,Sonoma,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,10,$1.6M to $2M
14365,F,Alameda,Frame,Metal,1985 and Before,4000 and Above,6,Less than $400K
14366,D,San Mateo,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,7,$400K to $800K
14367,A,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,3,$400K to $800K
14368,C,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
14369,D,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,7,$1.6M to $2M
14370,I,Contra Costa,Frame,Tile,2000 and After,Below 1500,5,$1.6M to $2M
14371,J,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,5,$800K to $1.2M
14372,B,San Mateo,Frame,Shingle,2000 and After,Between 3000 and 4000,5,Less than $400K
14373,I,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,1,$1.6M to $2M
14374,J,Alameda,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,1,Less than $400K
14375,H,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,10,$1.6M to $2M
14376,C,Sonoma,Frame,Wood,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M
14377,F,San Francisco,Frame,Wood,2000 and After,Below 1500,2,$1.2M to $1.6M
14378,A,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,6,$1.2M to $1.6M
14379,I,Sonoma,Non-Combustible Masonry,Wood,2000 and After,Below 1500,7,$400K to $800K
14380,E,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,6,$800K to $1.2M
14381,E,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,8,$1.6M to $2M
14382,G,San Francisco,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M
14383,J,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M
14384,C,Santa Clara,Fire Resistive,Shingle,2000 and After,Below 1500,8,$800K to $1.2M
14385,A,Alameda,Frame,Metal,2000 and After,Below 1500,4,$1.2M to $1.6M
14386,J,Solano,Frame,Shingle,1986 to 1999,Between 3000 and 4000,5,Less than $400K
14387,G,San Francisco,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,2,$400K to $800K
14388,A,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,8,$400K to $800K
14389,C,San Francisco,Frame,Tile,1986 to 1999,Below 1500,3,Less than $400K
14390,I,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M
14391,F,Solano,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,3,$800K to $1.2M
14392,H,Marin,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,3,$800K to $1.2M
14393,B,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,3,$400K to $800K
14394,H,San Mateo,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M
14395,H,San Mateo,Frame,Metal,1986 to 1999,4000 and Above,8,Less than $400K
14396,A,San Mateo,Fire Resistive,Metal,1986 to 1999,4000 and Above,8,$1.6M to $2M
14397,H,Sonoma,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,5,Less than $400K
14398,F,Sonoma,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M
14399,C,Marin,Fire Resistive,Wood,2000 and After,4000 and Above,9,$1.6M to $2M
14400,C,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,1,$400K to $800K
14401,I,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,4,Less than $400K
14402,H,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,5,$1.6M to $2M
14403,D,Marin,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M
