policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
13905,H,Contra Costa,Fire Resistive,Wood,1985 and Before,Below 1500,9,$1.2M to $1.6M,
13906,C,San Mateo,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,4,$400K to $800K,
13907,G,Marin,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$1.6M to $2M,
13908,F,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,3,$800K to $1.2M,
13909,E,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,8,$400K to $800K," $82,410.09 "
13910,F,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,4,$800K to $1.2M,
13911,B,Contra Costa,Frame,Tile,1986 to 1999,Between 1500 and 3000,2,$1.2M to $1.6M,
13912,G,San Mateo,Fire Resistive,Tile,1985 and Before,Below 1500,10,$400K to $800K,
13913,H,Alameda,Fire Resistive,Shingle,1986 to 1999,4000 and Above,5,$1.2M to $1.6M," $210,911.39 "
13914,D,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,5,$1.6M to $2M,
13915,H,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,9,Less than $400K,
13916,D,Alameda,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,3,$1.2M to $1.6M,
13917,F,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Below 1500,4,$1.2M to $1.6M," $144,586.05 "
13918,A,Santa Clara,Fire Resistive,Metal,1985 and Before,Below 1500,2,$1.6M to $2M,
13919,B,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,6,$800K to $1.2M,
13920,H,Santa Clara,Frame,Metal,1986 to 1999,Below 1500,3,$1.6M to $2M,
13921,G,San Francisco,Frame,Metal,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M,
13922,F,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,1,$1.2M to $1.6M,
13923,H,San Mateo,Fire Resistive,Wood,2000 and After,4000 and Above,2,$1.6M to $2M,
13924,C,Marin,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,6,Less than $400K,
13925,G,San Mateo,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,9,$1.2M to $1.6M,
13926,H,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M," $125,407.30 "
13927,C,San Mateo,Fire Resistive,Tile,2000 and After,4000 and Above,10,$800K to $1.2M," $109,193.54 "
13928,I,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M,
13929,I,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,4,Less than $400K," $62,566.85 "
13930,B,Alameda,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,2,$400K to $800K," $114,168.36 "
13931,A,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,7,$1.2M to $1.6M,
13932,C,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,8,$1.6M to $2M," $239,636.30 "
13933,E,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,8,$800K to $1.2M," $173,306.63 "
13934,H,Alameda,Frame,Wood,1985 and Before,Below 1500,8,$1.6M to $2M," $274,034.04 "
13935,B,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,1,$400K to $800K,
13936,I,Santa Clara,Fire Resistive,Tile,2000 and After,4000 and Above,7,$1.2M to $1.6M," $129,769.01 "
13937,I,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,9,$1.2M to $1.6M,
13938,I,Contra Costa,Frame,Tile,2000 and After,Below 1500,9,Less than $400K,
13939,B,Santa Clara,Frame,Tile,2000 and After,Below 1500,9,$1.6M to $2M,
13940,F,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,4,Less than $400K,
13941,J,Santa Clara,Fire Resistive,Metal,1985 and Before,4000 and Above,3,$400K to $800K," $72,708.88 "
13942,B,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,2,$400K to $800K," $132,391.94 "
13943,J,Santa Clara,Frame,Shingle,1986 to 1999,4000 and Above,5,$1.2M to $1.6M," $144,993.25 "
13944,F,Alameda,Frame,Wood,1986 to 1999,Below 1500,2,Less than $400K,
13945,G,Santa Clara,Fire Resistive,Tile,1986 to 1999,Below 1500,2,$800K to $1.2M,
13946,F,Santa Clara,Frame,Wood,1985 and Before,Below 1500,7,Less than $400K,
13947,F,Marin,Frame,Shingle,1985 and Before,Below 1500,9,$400K to $800K," $86,622.44 "
13948,B,San Francisco,Frame,Tile,1986 to 1999,4000 and Above,1,$1.2M to $1.6M,
13949,A,Napa,Fire Resistive,Tile,1985 and Before,Below 1500,9,$1.6M to $2M," $503,474.29 "
13950,I,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,$800K to $1.2M,
13951,E,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M,
13952,I,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M,
13953,B,Contra Costa,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,9,Less than $400K,
13954,H,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,4,Less than $400K,
13955,A,San Mateo,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M," $120,495.21 "
13956,C,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,3,$400K to $800K,
13957,J,San Francisco,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,6,$400K to $800K,
13958,F,Contra Costa,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,6,Less than $400K," $48,110.90 "
13959,E,Santa Clara,Frame,Metal,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M," $133,498.45 "
13960,H,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$400K to $800K,
13961,E,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,2,$1.6M to $2M,
13962,J,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,2,$800K to $1.2M,
13963,D,San Francisco,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,1,$400K to $800K,
13964,J,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,1,Less than $400K,
13965,C,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,4,Less than $400K,
13966,B,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M," $261,032.08 "
13967,J,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M,
13968,E,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M,
13969,J,Santa Clara,Fire Resistive,Tile,1986 to 1999,4000 and Above,3,$1.2M to $1.6M,
13970,I,Santa Clara,Frame,Metal,1985 and Before,4000 and Above,4,$400K to $800K," $86,186.30 "
13971,E,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M,
13972,D,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K,
13973,E,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,8,$1.6M to $2M,
13974,H,Santa Clara,Fire Resistive,Metal,1985 and Before,4000 and Above,10,$800K to $1.2M," $114,651.26 "
13975,F,Solano,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,5,Less than $400K,
13976,H,Sonoma,Frame,Tile,2000 and After,Below 1500,5,$1.6M to $2M,
13977,J,Napa,Frame,Wood,2000 and After,4000 and Above,8,$1.2M to $1.6M,
13978,J,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,7,$400K to $800K," $96,621.43 "
13979,D,Napa,Frame,Wood,2000 and After,Between 3000 and 4000,8,$800K to $1.2M,
13980,A,Alameda,Frame,Tile,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M," $198,539.47 "
13981,B,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,1,$400K to $800K,
13982,C,San Francisco,Frame,Tile,1986 to 1999,Between 3000 and 4000,1,$400K to $800K," $84,466.50 "
13983,E,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M,
13984,I,San Mateo,Frame,Shingle,1985 and Before,Below 1500,10,$400K to $800K,
13985,G,Solano,Frame,Metal,1986 to 1999,Below 1500,4,$400K to $800K," $115,224.18 "
13986,A,Alameda,Frame,Tile,1985 and Before,4000 and Above,9,$400K to $800K,
13987,J,Solano,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,6,Less than $400K,
13988,E,San Mateo,Frame,Wood,2000 and After,Below 1500,9,Less than $400K,
13989,I,Alameda,Frame,Shingle,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M,
13990,A,Contra Costa,Fire Resistive,Tile,1985 and Before,Below 1500,9,$400K to $800K,
13991,J,Sonoma,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,2,$400K to $800K," $76,466.36 "
13992,C,Santa Clara,Frame,Wood,2000 and After,Below 1500,5,$1.2M to $1.6M," $151,117.40 "
13993,I,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,9,$1.6M to $2M," $172,226.26 "
13994,G,Solano,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,5,Less than $400K,
13995,I,Solano,Frame,Metal,1985 and Before,Between 1500 and 3000,2,Less than $400K,
13996,H,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,10,$1.2M to $1.6M,
13997,C,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,4,Less than $400K," $64,609.85 "
13998,I,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,4,$800K to $1.2M," $189,395.66 "
13999,C,Solano,Frame,Wood,2000 and After,Between 1500 and 3000,5,$800K to $1.2M," $158,002.13 "
14000,H,Contra Costa,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,4,$400K to $800K," $72,574.10 "
14001,F,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M,
14002,J,Santa Clara,Frame,Shingle,1985 and Before,Between 1500 and 3000,9,$400K to $800K,
14003,J,Alameda,Frame,Metal,1986 to 1999,4000 and Above,8,$1.6M to $2M,
14004,H,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,2,$800K to $1.2M," $159,926.14 "
14005,G,Marin,Frame,Metal,1985 and Before,Below 1500,7,$400K to $800K,
14006,H,Santa Clara,Frame,Shingle,1986 to 1999,4000 and Above,7,$800K to $1.2M,
14007,D,Sonoma,Frame,Tile,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M,
14008,H,San Francisco,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,7,$800K to $1.2M,
14009,I,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M,
14010,E,San Mateo,Fire Resistive,Shingle,1986 to 1999,4000 and Above,3,$1.2M to $1.6M," $132,073.12 "
14011,A,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,6,$400K to $800K," $87,830.35 "
14012,E,Contra Costa,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,6,Less than $400K,
14013,H,Marin,Frame,Shingle,2000 and After,Between 3000 and 4000,8,$400K to $800K,
14014,J,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,4,Less than $400K,
14015,G,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,1,$1.2M to $1.6M,
14016,A,San Mateo,Fire Resistive,Wood,2000 and After,4000 and Above,5,$800K to $1.2M,
14017,H,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M," $129,205.50 "
14018,E,Santa Clara,Frame,Metal,2000 and After,4000 and Above,5,$1.6M to $2M,
14019,I,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,7,Less than $400K,
14020,E,San Francisco,Fire Resistive,Shingle,2000 and After,Below 1500,10,$1.2M to $1.6M,
14021,E,Marin,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,1,$1.2M to $1.6M,
14022,A,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,Less than $400K,
14023,A,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,1,$800K to $1.2M,
14024,G,Marin,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,10,Less than $400K,
14025,A,Sonoma,Frame,Tile,1985 and Before,Between 3000 and 4000,1,Less than $400K,
14026,J,San Mateo,Fire Resistive,Metal,1986 to 1999,4000 and Above,5,Less than $400K,
14027,J,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M,
14028,J,San Mateo,Fire Resistive,Shingle,1985 and Before,Below 1500,2,$400K to $800K,
14029,C,Alameda,Frame,Tile,2000 and After,Below 1500,8,$1.2M to $1.6M,
14030,H,Sonoma,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,5,Less than $400K," $42,397.11 "
14031,C,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,1,$1.6M to $2M," $189,245.77 "
14032,H,San Francisco,Fire Resistive,Tile,1985 and Before,Below 1500,9,$400K to $800K,
14033,C,Alameda,Frame,Shingle,1985 and Before,Between 3000 and 4000,7,$1.6M to $2M,
14034,F,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M,
14035,I,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,6,Less than $400K," $32,926.06 "
14036,C,Alameda,Fire Resistive,Metal,1985 and Before,Below 1500,5,Less than $400K,
14037,A,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,2,$800K to $1.2M,
14038,A,San Francisco,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,6,$400K to $800K,
14039,G,Alameda,Frame,Tile,1986 to 1999,Between 3000 and 4000,6,$400K to $800K," $134,248.79 "
14040,G,Alameda,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,3,$1.2M to $1.6M,
14041,I,Contra Costa,Frame,Metal,1986 to 1999,Between 1500 and 3000,9,$1.6M to $2M," $174,375.88 "
14042,I,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,4,$1.2M to $1.6M,
14043,A,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,9,Less than $400K,
14044,F,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,10,$1.6M to $2M," $136,280.85 "
14045,I,Alameda,Frame,Wood,1985 and Before,Between 3000 and 4000,10,$400K to $800K,
14046,H,Marin,Fire Resistive,Shingle,1986 to 1999,Below 1500,1,$800K to $1.2M,
14047,C,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,8,$400K to $800K," $80,377.28 "
14048,F,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M,
14049,E,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,2,Less than $400K,
14050,A,San Mateo,Frame,Wood,1986 to 1999,4000 and Above,7,Less than $400K," $38,729.73 "
14051,J,Sonoma,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,1,$400K to $800K,
14052,D,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,1,$400K to $800K,
14053,E,San Francisco,Frame,Wood,1986 to 1999,Between 3000 and 4000,1,$400K to $800K,
14054,F,Alameda,Fire Resistive,Wood,2000 and After,4000 and Above,2,$1.6M to $2M,
14055,I,Santa Clara,Frame,Metal,2000 and After,4000 and Above,5,$800K to $1.2M,
14056,J,Contra Costa,Frame,Wood,2000 and After,4000 and Above,8,$800K to $1.2M,
14057,E,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,5,Less than $400K," $44,230.93 "
14058,B,Santa Clara,Frame,Tile,1986 to 1999,Between 3000 and 4000,9,Less than $400K,
14059,E,Napa,Frame,Wood,2000 and After,Below 1500,9,$400K to $800K,
14060,H,Alameda,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M," $157,270.71 "
14061,C,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M,
14062,J,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,2,Less than $400K,
14063,F,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,4,Less than $400K,
14064,A,San Francisco,Fire Resistive,Metal,1986 to 1999,Below 1500,9,$800K to $1.2M," $96,215.43 "
14065,A,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,8,$1.2M to $1.6M,
14066,B,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
14067,C,Santa Clara,Frame,Metal,1985 and Before,Below 1500,3,$1.6M to $2M,
14068,G,Napa,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,9,$800K to $1.2M,
14069,G,Solano,Frame,Wood,1985 and Before,4000 and Above,7,$800K to $1.2M,
14070,G,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,9,$800K to $1.2M,
14071,F,Contra Costa,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,10,$800K to $1.2M,
14072,E,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,4,$800K to $1.2M,
14073,C,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,7,$1.2M to $1.6M,
14074,H,Sonoma,Frame,Metal,1986 to 1999,Between 3000 and 4000,2,$1.2M to $1.6M,
14075,C,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,1,Less than $400K,
14076,H,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,5,$800K to $1.2M,
14077,B,San Mateo,Frame,Wood,1985 and Before,Below 1500,8,$800K to $1.2M," $99,396.33 "
14078,I,San Mateo,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,6,$1.2M to $1.6M," $118,293.18 "
14079,A,Solano,Frame,Shingle,2000 and After,Between 3000 and 4000,6,$800K to $1.2M,
14080,H,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,3,Less than $400K,
14081,E,Santa Clara,Frame,Metal,1985 and Before,Below 1500,6,$800K to $1.2M,
14082,B,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,3,Less than $400K,
14083,I,Sonoma,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,5,$400K to $800K," $82,844.99 "
14084,D,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M," $144,351.62 "
14085,B,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,2,$800K to $1.2M,
14086,G,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,9,$400K to $800K,
14087,H,Solano,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,5,$1.6M to $2M," $202,985.83 "
14088,F,San Mateo,Fire Resistive,Shingle,1985 and Before,Below 1500,3,Less than $400K,
14089,I,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,3,$1.6M to $2M," $181,055.58 "
14090,C,Solano,Frame,Wood,2000 and After,Between 1500 and 3000,1,$1.6M to $2M,
14091,F,Alameda,Frame,Tile,2000 and After,Below 1500,2,$800K to $1.2M,
14092,G,Alameda,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,6,$400K to $800K,
14093,F,Santa Clara,Frame,Shingle,1985 and Before,Between 3000 and 4000,1,Less than $400K,
14094,F,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,8,$1.6M to $2M,
14095,I,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,3,$1.6M to $2M,
14096,F,Sonoma,Fire Resistive,Wood,1985 and Before,Below 1500,6,$800K to $1.2M," $110,157.01 "
14097,G,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,4,$800K to $1.2M,
14098,A,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M,
14099,C,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,7,$400K to $800K,
14100,A,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M,
14101,H,Sonoma,Frame,Shingle,2000 and After,Between 3000 and 4000,4,$1.2M to $1.6M,
14102,H,Contra Costa,Frame,Wood,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M,
14103,D,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,9,$400K to $800K," $106,691.25 "
14104,C,Santa Clara,Frame,Tile,1986 to 1999,4000 and Above,5,$1.2M to $1.6M,
14105,D,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,6,$800K to $1.2M,
14106,G,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M,
14107,F,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,2,$1.2M to $1.6M,
14108,G,Solano,Non-Combustible Masonry,Metal,2000 and After,Below 1500,3,$1.2M to $1.6M," $169,342.62 "
14109,G,Contra Costa,Frame,Metal,2000 and After,4000 and Above,5,$1.2M to $1.6M,
14110,D,Alameda,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,2,$400K to $800K,
14111,J,Marin,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,7,$1.6M to $2M,
14112,D,Contra Costa,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,1,Less than $400K,
14113,F,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,9,$800K to $1.2M,
14114,C,San Mateo,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,8,$400K to $800K," $83,742.42 "
14115,D,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,4,$400K to $800K,
14116,C,San Francisco,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,9,$1.6M to $2M,
14117,H,Sonoma,Frame,Tile,2000 and After,Between 3000 and 4000,7,$800K to $1.2M,
14118,B,Contra Costa,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,6,$1.6M to $2M,
14119,H,Alameda,Frame,Metal,1986 to 1999,Between 3000 and 4000,1,$400K to $800K," $140,869.07 "
